date,geo,unemployment_rate
1976-01-01,Alberta,4.3
1976-02-01,Alberta,3.7
1976-03-01,Alberta,3.8
1976-04-01,Alberta,3.5
1976-05-01,Alberta,4.2
1976-06-01,Alberta,3.8
1976-07-01,Alberta,3.7
1976-08-01,Alberta,3.7
1976-09-01,Alberta,3.8
1976-10-01,Alberta,4.0
1976-11-01,Alberta,4.0
1976-12-01,Alberta,4.2
1977-01-01,Alberta,4.6
1977-02-01,Alberta,4.3
1977-03-01,Alberta,4.6
1977-04-01,Alberta,4.0
1977-05-01,Alberta,4.5
1977-06-01,Alberta,4.1
1977-07-01,Alberta,4.3
1977-08-01,Alberta,4.3
1977-09-01,Alberta,4.5
1977-10-01,Alberta,4.6
1977-11-01,Alberta,5.0
1977-12-01,Alberta,4.9
1978-01-01,Alberta,4.7
1978-02-01,Alberta,5.0
1978-03-01,Alberta,4.9
1978-04-01,Alberta,4.7
1978-05-01,Alberta,4.7
1978-06-01,Alberta,4.7
1978-07-01,Alberta,4.6
1978-08-01,Alberta,4.8
1978-09-01,Alberta,5.1
1978-10-01,Alberta,4.9
1978-11-01,Alberta,4.6
1978-12-01,Alberta,4.3
1979-01-01,Alberta,4.1
1979-02-01,Alberta,4.4
1979-03-01,Alberta,3.9
1979-04-01,Alberta,4.4
1979-05-01,Alberta,4.0
1979-06-01,Alberta,4.0
1979-07-01,Alberta,3.8
1979-08-01,Alberta,3.8
1979-09-01,Alberta,3.8
1979-10-01,Alberta,3.7
1979-11-01,Alberta,3.8
1979-12-01,Alberta,3.9
1980-01-01,Alberta,4.2
1980-02-01,Alberta,4.1
1980-03-01,Alberta,3.8
1980-04-01,Alberta,3.8
1980-05-01,Alberta,3.8
1980-06-01,Alberta,4.0
1980-07-01,Alberta,3.8
1980-08-01,Alberta,4.0
1980-09-01,Alberta,3.7
1980-10-01,Alberta,3.7
1980-11-01,Alberta,3.7
1980-12-01,Alberta,3.8
1981-01-01,Alberta,4.0
1981-02-01,Alberta,4.1
1981-03-01,Alberta,4.1
1981-04-01,Alberta,3.6
1981-05-01,Alberta,3.4
1981-06-01,Alberta,3.3
1981-07-01,Alberta,3.4
1981-08-01,Alberta,3.3
1981-09-01,Alberta,3.7
1981-10-01,Alberta,4.2
1981-11-01,Alberta,4.9
1981-12-01,Alberta,4.6
1982-01-01,Alberta,5.2
1982-02-01,Alberta,5.1
1982-03-01,Alberta,5.7
1982-04-01,Alberta,6.5
1982-05-01,Alberta,7.1
1982-06-01,Alberta,7.8
1982-07-01,Alberta,8.3
1982-08-01,Alberta,8.1
1982-09-01,Alberta,9.3
1982-10-01,Alberta,9.6
1982-11-01,Alberta,10.0
1982-12-01,Alberta,10.3
1983-01-01,Alberta,10.6
1983-02-01,Alberta,10.9
1983-03-01,Alberta,11.2
1983-04-01,Alberta,10.9
1983-05-01,Alberta,11.3
1983-06-01,Alberta,11.4
1983-07-01,Alberta,11.5
1983-08-01,Alberta,11.0
1983-09-01,Alberta,10.9
1983-10-01,Alberta,10.6
1983-11-01,Alberta,10.6
1983-12-01,Alberta,11.2
1984-01-01,Alberta,10.9
1984-02-01,Alberta,10.5
1984-03-01,Alberta,11.3
1984-04-01,Alberta,11.2
1984-05-01,Alberta,12.0
1984-06-01,Alberta,11.6
1984-07-01,Alberta,11.4
1984-08-01,Alberta,11.4
1984-09-01,Alberta,12.4
1984-10-01,Alberta,11.5
1984-11-01,Alberta,11.4
1984-12-01,Alberta,11.3
1985-01-01,Alberta,10.2
1985-02-01,Alberta,10.7
1985-03-01,Alberta,10.5
1985-04-01,Alberta,10.2
1985-05-01,Alberta,10.1
1985-06-01,Alberta,9.6
1985-07-01,Alberta,9.4
1985-08-01,Alberta,9.4
1985-09-01,Alberta,9.2
1985-10-01,Alberta,9.3
1985-11-01,Alberta,9.6
1985-12-01,Alberta,9.1
1986-01-01,Alberta,8.6
1986-02-01,Alberta,8.6
1986-03-01,Alberta,9.4
1986-04-01,Alberta,9.9
1986-05-01,Alberta,10.4
1986-06-01,Alberta,10.8
1986-07-01,Alberta,10.2
1986-08-01,Alberta,10.5
1986-09-01,Alberta,10.1
1986-10-01,Alberta,10.5
1986-11-01,Alberta,10.6
1986-12-01,Alberta,10.5
1987-01-01,Alberta,10.8
1987-02-01,Alberta,10.7
1987-03-01,Alberta,10.0
1987-04-01,Alberta,10.2
1987-05-01,Alberta,9.5
1987-06-01,Alberta,9.8
1987-07-01,Alberta,9.4
1987-08-01,Alberta,9.6
1987-09-01,Alberta,9.4
1987-10-01,Alberta,8.4
1987-11-01,Alberta,8.2
1987-12-01,Alberta,8.3
1988-01-01,Alberta,8.5
1988-02-01,Alberta,8.1
1988-03-01,Alberta,8.2
1988-04-01,Alberta,7.9
1988-05-01,Alberta,8.0
1988-06-01,Alberta,7.7
1988-07-01,Alberta,8.0
1988-08-01,Alberta,8.0
1988-09-01,Alberta,7.7
1988-10-01,Alberta,8.1
1988-11-01,Alberta,8.0
1988-12-01,Alberta,7.6
1989-01-01,Alberta,7.5
1989-02-01,Alberta,7.4
1989-03-01,Alberta,7.5
1989-04-01,Alberta,7.5
1989-05-01,Alberta,7.0
1989-06-01,Alberta,7.2
1989-07-01,Alberta,6.9
1989-08-01,Alberta,7.3
1989-09-01,Alberta,7.2
1989-10-01,Alberta,6.5
1989-11-01,Alberta,7.0
1989-12-01,Alberta,6.9
1990-01-01,Alberta,6.9
1990-02-01,Alberta,6.7
1990-03-01,Alberta,6.5
1990-04-01,Alberta,6.7
1990-05-01,Alberta,6.7
1990-06-01,Alberta,6.2
1990-07-01,Alberta,6.7
1990-08-01,Alberta,6.6
1990-09-01,Alberta,7.2
1990-10-01,Alberta,7.4
1990-11-01,Alberta,7.6
1990-12-01,Alberta,7.8
1991-01-01,Alberta,7.7
1991-02-01,Alberta,7.5
1991-03-01,Alberta,8.0
1991-04-01,Alberta,7.9
1991-05-01,Alberta,8.2
1991-06-01,Alberta,8.3
1991-07-01,Alberta,8.3
1991-08-01,Alberta,8.1
1991-09-01,Alberta,8.4
1991-10-01,Alberta,8.5
1991-11-01,Alberta,9.0
1991-12-01,Alberta,9.1
1992-01-01,Alberta,9.4
1992-02-01,Alberta,9.7
1992-03-01,Alberta,9.1
1992-04-01,Alberta,8.9
1992-05-01,Alberta,9.0
1992-06-01,Alberta,9.8
1992-07-01,Alberta,9.2
1992-08-01,Alberta,9.5
1992-09-01,Alberta,9.5
1992-10-01,Alberta,9.5
1992-11-01,Alberta,10.2
1992-12-01,Alberta,9.7
1993-01-01,Alberta,9.0
1993-02-01,Alberta,8.9
1993-03-01,Alberta,9.7
1993-04-01,Alberta,9.9
1993-05-01,Alberta,9.6
1993-06-01,Alberta,9.7
1993-07-01,Alberta,9.9
1993-08-01,Alberta,9.9
1993-09-01,Alberta,10.2
1993-10-01,Alberta,9.3
1993-11-01,Alberta,9.3
1993-12-01,Alberta,9.6
1994-01-01,Alberta,9.5
1994-02-01,Alberta,8.9
1994-03-01,Alberta,9.2
1994-04-01,Alberta,8.9
1994-05-01,Alberta,9.4
1994-06-01,Alberta,9.6
1994-07-01,Alberta,9.2
1994-08-01,Alberta,8.4
1994-09-01,Alberta,8.7
1994-10-01,Alberta,8.3
1994-11-01,Alberta,7.7
1994-12-01,Alberta,7.6
1995-01-01,Alberta,7.8
1995-02-01,Alberta,7.6
1995-03-01,Alberta,7.8
1995-04-01,Alberta,7.9
1995-05-01,Alberta,8.1
1995-06-01,Alberta,7.7
1995-07-01,Alberta,8.0
1995-08-01,Alberta,8.2
1995-09-01,Alberta,7.7
1995-10-01,Alberta,7.7
1995-11-01,Alberta,7.8
1995-12-01,Alberta,7.8
1996-01-01,Alberta,7.6
1996-02-01,Alberta,7.4
1996-03-01,Alberta,7.1
1996-04-01,Alberta,6.6
1996-05-01,Alberta,7.0
1996-06-01,Alberta,7.3
1996-07-01,Alberta,6.9
1996-08-01,Alberta,6.5
1996-09-01,Alberta,6.8
1996-10-01,Alberta,6.7
